entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,duration_min
2026-01-20 09:31:00-05:00,2026-01-20 09:34:00-05:00,short,25292.25,25314.75,1,-46.5,3.0
2026-01-20 09:35:00-05:00,2026-01-20 09:37:00-05:00,long,25346.75,25290.25,1,-114.5,2.0
2026-01-20 09:38:00-05:00,2026-01-20 09:39:00-05:00,short,25284.0,25326.25,1,-86.0,1.0
2026-01-20 09:40:00-05:00,2026-01-20 09:41:00-05:00,long,25301.5,25251.5,1,-101.5,1.0
2026-01-20 09:42:00-05:00,2026-01-20 09:43:00-05:00,short,25284.25,25307.25,1,-47.5,1.0
2026-01-20 09:44:00-05:00,2026-01-20 09:47:00-05:00,long,25303.75,25294.25,1,-20.5,3.0
2026-01-20 09:48:00-05:00,2026-01-20 09:50:00-05:00,short,25270.25,25297.5,1,-56.0,2.0
2026-01-20 09:51:00-05:00,2026-01-20 10:01:00-05:00,long,25335.75,25302.5,1,-68.0,10.0
2026-01-20 10:02:00-05:00,2026-01-20 10:06:00-05:00,short,25305.75,25311.25,1,-12.5,4.0
2026-01-20 10:07:00-05:00,2026-01-20 10:08:00-05:00,long,25317.75,25294.75,1,-47.5,1.0
2026-01-20 10:09:00-05:00,2026-01-20 10:22:00-05:00,short,25270.25,25332.25,1,-125.5,13.0
2026-01-20 10:23:00-05:00,2026-01-20 12:22:00-05:00,long,25347.25,25341.0,1,-14.0,119.0
2026-01-20 12:23:00-05:00,2026-01-20 12:25:00-05:00,long,25346.0,25335.75,2,-42.5,2.0
2026-01-20 12:26:00-05:00,2026-01-20 16:00:00-05:00,short,25342.25,25141.25,2,802.5,214.0
2026-01-21 09:31:00-05:00,2026-01-21 09:38:00-05:00,short,25212.5,25187.5,1,48.5,7.0
2026-01-21 09:39:00-05:00,2026-01-21 09:41:00-05:00,long,25193.75,25135.0,1,-119.0,2.0
2026-01-21 09:42:00-05:00,2026-01-21 09:44:00-05:00,short,25134.75,25193.25,1,-118.5,2.0
2026-01-21 09:45:00-05:00,2026-01-21 11:40:00-05:00,long,25201.5,25335.75,1,267.0,115.0
2026-01-21 11:41:00-05:00,2026-01-21 13:52:00-05:00,short,25331.75,25289.25,1,83.5,131.0
2026-01-21 13:53:00-05:00,2026-01-21 14:02:00-05:00,short,25285.5,25291.25,1,-13.0,9.0
2026-01-21 14:03:00-05:00,2026-01-21 14:28:00-05:00,short,25280.5,25364.0,1,-168.5,25.0
2026-01-21 14:29:00-05:00,2026-01-21 16:00:00-05:00,long,25407.5,25471.75,1,127.0,91.0
2026-01-22 09:32:00-05:00,2026-01-22 09:33:00-05:00,short,25677.0,25690.0,1,-27.5,1.0
2026-01-22 09:34:00-05:00,2026-01-22 09:38:00-05:00,short,25676.0,25676.75,1,-3.0,4.0
2026-01-22 09:39:00-05:00,2026-01-22 09:41:00-05:00,short,25666.5,25681.5,1,-31.5,2.0
2026-01-22 09:42:00-05:00,2026-01-22 10:34:00-05:00,short,25665.5,25607.75,1,114.0,52.0
2026-01-22 10:35:00-05:00,2026-01-22 11:00:00-05:00,long,25623.0,25606.0,1,-35.5,25.0
2026-01-22 11:01:00-05:00,2026-01-22 15:00:00-05:00,long,25629.25,25639.5,2,39.5,239.0
2026-01-22 15:01:00-05:00,2026-01-22 15:03:00-05:00,short,25639.0,25648.75,3,-60.0,2.0
2026-01-22 15:04:00-05:00,2026-01-22 15:07:00-05:00,long,25649.0,25637.5,2,-47.5,3.0
2026-01-22 15:08:00-05:00,2026-01-22 15:15:00-05:00,short,25638.5,25647.75,2,-38.5,7.0
2026-01-22 15:16:00-05:00,2026-01-22 15:25:00-05:00,long,25658.5,25641.5,3,-103.5,9.0
2026-01-22 15:26:00-05:00,2026-01-22 15:52:00-05:00,short,25629.25,25644.25,3,-91.5,26.0
2026-01-22 15:53:00-05:00,2026-01-22 16:00:00-05:00,long,25645.75,25661.75,3,94.5,7.0
2026-01-23 09:31:00-05:00,2026-01-23 09:32:00-05:00,short,25618.5,25646.75,2,-114.5,1.0
2026-01-23 09:33:00-05:00,2026-01-23 09:41:00-05:00,short,25599.25,25602.0,1,-7.0,8.0
2026-01-23 09:42:00-05:00,2026-01-23 09:47:00-05:00,long,25616.25,25598.0,1,-38.0,5.0
2026-01-23 09:48:00-05:00,2026-01-23 09:52:00-05:00,short,25587.5,25626.0,1,-78.5,4.0
2026-01-23 09:53:00-05:00,2026-01-23 12:47:00-05:00,long,25616.25,25715.5,1,197.0,174.0
2026-01-23 12:48:00-05:00,2026-01-23 12:51:00-05:00,long,25732.0,25714.75,2,-70.5,3.0
2026-01-23 12:52:00-05:00,2026-01-23 13:08:00-05:00,short,25705.5,25725.75,2,-82.5,16.0
2026-01-23 13:09:00-05:00,2026-01-23 13:46:00-05:00,long,25744.5,25725.75,2,-76.5,37.0
2026-01-23 13:47:00-05:00,2026-01-23 13:49:00-05:00,long,25727.25,25724.25,2,-13.5,2.0
2026-01-23 13:50:00-05:00,2026-01-23 13:51:00-05:00,long,25731.0,25723.25,2,-32.5,1.0
2026-01-23 13:52:00-05:00,2026-01-23 13:55:00-05:00,short,25720.75,25726.75,2,-25.5,3.0
2026-01-23 13:56:00-05:00,2026-01-23 14:00:00-05:00,long,25730.0,25725.25,3,-30.0,4.0
2026-01-23 14:01:00-05:00,2026-01-23 14:42:00-05:00,long,25733.25,25724.75,3,-52.5,41.0
2026-01-23 14:43:00-05:00,2026-01-23 15:07:00-05:00,long,25735.0,25724.0,2,-45.5,24.0
2026-01-23 15:08:00-05:00,2026-01-23 15:16:00-05:00,short,25724.25,25728.75,3,-28.5,8.0
2026-01-23 15:17:00-05:00,2026-01-23 15:22:00-05:00,long,25735.25,25725.75,3,-58.5,5.0
2026-01-23 15:23:00-05:00,2026-01-23 15:45:00-05:00,short,25724.5,25731.0,3,-40.5,22.0
2026-01-23 15:46:00-05:00,2026-01-23 15:52:00-05:00,long,25729.75,25720.75,3,-55.5,6.0
2026-01-23 15:53:00-05:00,2026-01-23 15:54:00-05:00,short,25716.25,25731.0,2,-60.5,1.0
2026-01-23 15:55:00-05:00,2026-01-23 16:00:00-05:00,long,25734.75,25734.75,2,-1.5,5.0
2026-01-26 09:32:00-05:00,2026-01-26 15:52:00-05:00,long,25756.75,25863.5,1,212.0,380.0
2026-01-26 15:53:00-05:00,2026-01-26 15:54:00-05:00,long,25867.5,25863.75,3,-24.0,1.0
2026-01-26 15:55:00-05:00,2026-01-26 16:00:00-05:00,short,25859.25,25844.75,3,85.5,5.0
2026-01-27 09:31:00-05:00,2026-01-27 09:34:00-05:00,long,25981.0,25976.0,2,-21.5,3.0
2026-01-27 09:35:00-05:00,2026-01-27 09:42:00-05:00,short,25962.5,25966.5,2,-17.5,7.0
2026-01-27 09:43:00-05:00,2026-01-27 09:44:00-05:00,long,25960.25,25956.0,1,-10.0,1.0
2026-01-27 09:45:00-05:00,2026-01-27 09:46:00-05:00,short,25959.0,25974.25,1,-32.0,1.0
2026-01-27 09:47:00-05:00,2026-01-27 16:00:00-05:00,long,25977.5,26075.5,1,194.5,373.0
2026-01-28 09:31:00-05:00,2026-01-28 09:35:00-05:00,long,26252.5,26248.75,3,-24.0,4.0
2026-01-28 09:36:00-05:00,2026-01-28 09:41:00-05:00,short,26235.25,26262.75,2,-111.5,5.0
2026-01-28 09:42:00-05:00,2026-01-28 09:48:00-05:00,long,26271.5,26240.25,1,-64.0,6.0
2026-01-28 09:49:00-05:00,2026-01-28 09:51:00-05:00,short,26236.25,26266.5,1,-62.0,2.0
2026-01-28 09:52:00-05:00,2026-01-28 10:00:00-05:00,long,26275.5,26253.0,1,-46.5,8.0
2026-01-28 10:01:00-05:00,2026-01-28 14:49:00-05:00,short,26255.75,26195.25,1,119.5,288.0
2026-01-28 14:50:00-05:00,2026-01-28 14:52:00-05:00,short,26184.75,26191.75,1,-15.5,2.0
2026-01-28 14:53:00-05:00,2026-01-28 14:57:00-05:00,long,26200.75,26179.5,2,-86.5,4.0
2026-01-28 14:58:00-05:00,2026-01-28 14:59:00-05:00,short,26186.0,26189.25,2,-14.5,1.0
2026-01-28 15:00:00-05:00,2026-01-28 15:07:00-05:00,short,26160.75,26189.5,1,-59.0,7.0
2026-01-28 15:08:00-05:00,2026-01-28 15:09:00-05:00,long,26189.75,26184.0,2,-24.5,1.0
2026-01-28 15:10:00-05:00,2026-01-28 15:26:00-05:00,long,26199.25,26185.5,2,-56.5,16.0
2026-01-28 15:27:00-05:00,2026-01-28 16:00:00-05:00,short,26179.25,26151.0,2,111.5,33.0
2026-01-29 09:31:00-05:00,2026-01-29 12:14:00-05:00,short,26139.5,25796.25,3,2058.0,163.0
2026-01-29 12:15:00-05:00,2026-01-29 12:53:00-05:00,long,25799.75,25769.25,2,-123.5,38.0
2026-01-29 12:54:00-05:00,2026-01-29 13:03:00-05:00,short,25761.0,25786.75,1,-53.0,9.0
2026-01-29 13:04:00-05:00,2026-01-29 16:00:00-05:00,long,25806.0,25992.75,1,372.0,176.0
2026-01-30 09:31:00-05:00,2026-01-30 09:34:00-05:00,short,25897.25,25877.25,1,38.5,3.0
2026-01-30 09:35:00-05:00,2026-01-30 09:38:00-05:00,long,25889.75,25862.75,1,-55.5,3.0
2026-01-30 09:39:00-05:00,2026-01-30 09:45:00-05:00,long,25878.75,25871.25,1,-16.5,6.0
2026-01-30 09:46:00-05:00,2026-01-30 09:50:00-05:00,short,25858.0,25892.0,1,-69.5,4.0
2026-01-30 09:51:00-05:00,2026-01-30 09:55:00-05:00,long,25904.0,25876.75,1,-56.0,4.0
2026-01-30 09:56:00-05:00,2026-01-30 09:57:00-05:00,short,25881.25,25892.25,1,-23.5,1.0
2026-01-30 09:58:00-05:00,2026-01-30 10:07:00-05:00,short,25871.0,25896.5,1,-52.5,9.0
2026-01-30 10:08:00-05:00,2026-01-30 10:22:00-05:00,long,25898.5,25877.25,1,-44.0,14.0
2026-01-30 10:23:00-05:00,2026-01-30 10:36:00-05:00,short,25875.0,25882.75,1,-17.0,13.0
2026-01-30 10:37:00-05:00,2026-01-30 10:39:00-05:00,short,25835.25,25878.75,1,-88.5,2.0
2026-01-30 10:40:00-05:00,2026-01-30 10:54:00-05:00,long,25878.25,25855.5,1,-47.0,14.0
2026-01-30 10:55:00-05:00,2026-01-30 16:00:00-05:00,short,25863.5,25677.0,1,371.5,305.0
2026-02-02 09:31:00-05:00,2026-02-02 09:32:00-05:00,short,25623.5,25631.5,1,-17.5,1.0
2026-02-02 09:33:00-05:00,2026-02-02 15:51:00-05:00,long,25636.0,25838.25,1,403.0,378.0
2026-02-02 15:52:00-05:00,2026-02-02 16:00:00-05:00,long,25840.0,25856.25,3,96.0,8.0
2026-02-03 09:31:00-05:00,2026-02-03 09:32:00-05:00,long,25941.0,25891.0,1,-101.5,1.0
2026-02-03 09:33:00-05:00,2026-02-03 16:00:00-05:00,short,25882.75,25444.0,1,876.0,387.0
2026-02-04 09:32:00-05:00,2026-02-04 09:35:00-05:00,short,25265.25,25286.75,1,-44.5,3.0
2026-02-04 09:36:00-05:00,2026-02-04 09:41:00-05:00,long,25344.5,25304.5,1,-81.5,5.0
2026-02-04 09:42:00-05:00,2026-02-04 09:46:00-05:00,long,25336.25,25303.5,1,-67.0,4.0
2026-02-04 09:47:00-05:00,2026-02-04 09:49:00-05:00,short,25314.0,25361.25,1,-96.0,2.0
2026-02-04 09:50:00-05:00,2026-02-04 09:51:00-05:00,long,25343.0,25293.5,1,-100.5,1.0
2026-02-04 09:52:00-05:00,2026-02-04 10:24:00-05:00,short,25292.0,25262.25,1,58.0,32.0
2026-02-04 10:25:00-05:00,2026-02-04 10:27:00-05:00,long,25262.5,25249.75,1,-27.0,2.0
2026-02-04 10:28:00-05:00,2026-02-04 14:49:00-05:00,short,25237.75,25101.0,1,272.0,261.0
2026-02-04 14:50:00-05:00,2026-02-04 14:52:00-05:00,short,25064.5,25076.25,1,-25.0,2.0
2026-02-04 14:53:00-05:00,2026-02-04 15:02:00-05:00,long,25098.0,25067.0,1,-63.5,9.0
2026-02-04 15:03:00-05:00,2026-02-04 15:04:00-05:00,short,25057.0,25078.75,1,-45.0,1.0
2026-02-04 15:05:00-05:00,2026-02-04 15:10:00-05:00,short,25064.75,25084.0,1,-40.0,5.0
2026-02-04 15:11:00-05:00,2026-02-04 15:28:00-05:00,short,25071.0,25077.75,1,-15.0,17.0
2026-02-04 15:29:00-05:00,2026-02-04 15:30:00-05:00,long,25077.0,25059.5,1,-36.5,1.0
2026-02-04 15:31:00-05:00,2026-02-04 15:38:00-05:00,short,25052.0,25084.75,1,-67.0,7.0
2026-02-04 15:39:00-05:00,2026-02-04 15:45:00-05:00,long,25085.75,25065.0,2,-84.5,6.0
2026-02-04 15:46:00-05:00,2026-02-04 15:48:00-05:00,short,25059.25,25081.0,2,-88.5,2.0
2026-02-04 15:49:00-05:00,2026-02-04 15:51:00-05:00,long,25085.5,25051.0,2,-139.5,2.0
2026-02-04 15:52:00-05:00,2026-02-04 16:00:00-05:00,short,25038.0,24996.75,1,81.0,8.0
2026-02-05 09:32:00-05:00,2026-02-05 09:33:00-05:00,short,24679.75,24720.0,1,-82.0,1.0
2026-02-05 09:34:00-05:00,2026-02-05 09:35:00-05:00,short,24709.75,24813.75,1,-209.5,1.0
2026-02-05 09:36:00-05:00,2026-02-05 09:56:00-05:00,long,24798.75,24830.75,1,62.5,20.0
2026-02-05 09:57:00-05:00,2026-02-05 11:23:00-05:00,short,24806.25,24729.75,1,151.5,86.0
2026-02-05 11:24:00-05:00,2026-02-05 11:25:00-05:00,short,24682.25,24728.5,1,-94.0,1.0
2026-02-05 11:26:00-05:00,2026-02-05 13:23:00-05:00,long,24711.5,24727.5,1,30.5,117.0
2026-02-05 13:24:00-05:00,2026-02-05 13:25:00-05:00,short,24724.0,24729.75,1,-13.0,1.0
2026-02-05 13:26:00-05:00,2026-02-05 13:27:00-05:00,short,24719.5,24743.25,1,-49.0,1.0
2026-02-05 13:28:00-05:00,2026-02-05 13:37:00-05:00,long,24738.0,24728.75,1,-20.0,9.0
2026-02-05 13:38:00-05:00,2026-02-05 13:39:00-05:00,long,24732.75,24720.0,1,-27.0,1.0
2026-02-05 13:40:00-05:00,2026-02-05 14:04:00-05:00,short,24716.75,24732.25,1,-32.5,24.0
2026-02-05 14:05:00-05:00,2026-02-05 14:06:00-05:00,short,24725.5,24733.5,1,-17.5,1.0
2026-02-05 14:07:00-05:00,2026-02-05 14:32:00-05:00,long,24747.0,24724.0,1,-47.5,25.0
2026-02-05 14:33:00-05:00,2026-02-05 15:02:00-05:00,short,24689.75,24729.25,1,-80.5,29.0
2026-02-05 15:03:00-05:00,2026-02-05 15:16:00-05:00,long,24732.0,24709.0,2,-93.5,13.0
2026-02-05 15:17:00-05:00,2026-02-05 16:00:00-05:00,short,24706.0,24638.25,1,134.0,43.0
2026-02-06 09:32:00-05:00,2026-02-06 09:57:00-05:00,long,24754.0,24859.5,1,209.5,25.0
2026-02-06 09:58:00-05:00,2026-02-06 09:59:00-05:00,long,24893.5,24871.75,1,-45.0,1.0
2026-02-06 10:00:00-05:00,2026-02-06 10:22:00-05:00,short,24854.75,24880.25,1,-52.5,22.0
2026-02-06 10:23:00-05:00,2026-02-06 10:24:00-05:00,long,24895.75,24817.75,1,-157.5,1.0
2026-02-06 10:25:00-05:00,2026-02-06 10:26:00-05:00,short,24835.75,24885.0,0,-1.5,1.0
2026-02-06 10:27:00-05:00,2026-02-06 10:51:00-05:00,long,24903.0,24862.25,1,-83.0,24.0
2026-02-06 10:52:00-05:00,2026-02-06 10:53:00-05:00,long,24872.25,24847.25,1,-51.5,1.0
2026-02-06 10:54:00-05:00,2026-02-06 10:56:00-05:00,short,24841.5,24871.75,1,-62.0,2.0
2026-02-06 10:57:00-05:00,2026-02-06 16:00:00-05:00,long,24876.0,25143.5,1,533.5,303.0
2026-02-09 09:32:00-05:00,2026-02-09 16:00:00-05:00,long,25006.5,25337.5,1,660.5,388.0
2026-02-10 09:31:00-05:00,2026-02-10 09:33:00-05:00,short,25377.25,25380.5,4,-27.5,2.0
2026-02-10 09:34:00-05:00,2026-02-10 09:36:00-05:00,short,25351.5,25372.25,2,-84.5,2.0
2026-02-10 09:37:00-05:00,2026-02-10 09:52:00-05:00,short,25334.5,25322.75,1,22.0,15.0
2026-02-10 09:53:00-05:00,2026-02-10 10:57:00-05:00,long,25331.0,25353.25,1,43.0,64.0
2026-02-10 10:58:00-05:00,2026-02-10 11:07:00-05:00,long,25379.5,25364.5,1,-31.5,9.0
2026-02-10 11:08:00-05:00,2026-02-10 11:09:00-05:00,short,25364.0,25381.0,1,-35.5,1.0
2026-02-10 11:10:00-05:00,2026-02-10 11:11:00-05:00,short,25351.25,25373.25,1,-45.5,1.0
2026-02-10 11:12:00-05:00,2026-02-10 11:21:00-05:00,long,25378.0,25363.5,1,-30.5,9.0
2026-02-10 11:22:00-05:00,2026-02-10 12:15:00-05:00,short,25361.5,25364.75,1,-8.0,53.0
2026-02-10 12:16:00-05:00,2026-02-10 12:23:00-05:00,long,25364.5,25364.25,3,-3.0,7.0
2026-02-10 12:24:00-05:00,2026-02-10 12:31:00-05:00,long,25371.25,25360.25,3,-67.5,7.0
2026-02-10 12:32:00-05:00,2026-02-10 12:36:00-05:00,long,25369.25,25354.0,3,-93.0,4.0
2026-02-10 12:37:00-05:00,2026-02-10 12:38:00-05:00,short,25363.5,25365.25,2,-8.5,1.0
2026-02-10 12:39:00-05:00,2026-02-10 12:40:00-05:00,long,25369.75,25361.25,2,-35.5,1.0
2026-02-10 12:41:00-05:00,2026-02-10 13:06:00-05:00,long,25368.0,25358.75,2,-38.5,25.0
2026-02-10 13:07:00-05:00,2026-02-10 16:00:00-05:00,short,25360.5,25219.75,3,843.0,173.0
2026-02-11 09:31:00-05:00,2026-02-11 09:32:00-05:00,short,25459.5,25449.25,1,19.0,1.0
2026-02-11 09:33:00-05:00,2026-02-11 09:46:00-05:00,short,25428.0,25425.75,1,3.0,13.0
2026-02-11 09:47:00-05:00,2026-02-11 09:49:00-05:00,short,25373.5,25410.25,1,-75.0,2.0
2026-02-11 09:50:00-05:00,2026-02-11 09:51:00-05:00,long,25401.25,25366.5,1,-71.0,1.0
2026-02-11 09:52:00-05:00,2026-02-11 10:55:00-05:00,short,25385.25,25260.0,1,249.0,63.0
2026-02-11 10:56:00-05:00,2026-02-11 10:58:00-05:00,long,25260.0,25243.0,1,-35.5,2.0
2026-02-11 10:59:00-05:00,2026-02-11 11:00:00-05:00,long,25251.25,25244.5,1,-15.0,1.0
2026-02-11 11:01:00-05:00,2026-02-11 11:14:00-05:00,short,25237.25,25254.75,1,-36.5,13.0
2026-02-11 11:15:00-05:00,2026-02-11 11:16:00-05:00,long,25258.25,25240.5,1,-37.0,1.0
2026-02-11 11:17:00-05:00,2026-02-11 11:18:00-05:00,long,25245.5,25242.5,1,-7.5,1.0
2026-02-11 11:19:00-05:00,2026-02-11 11:20:00-05:00,short,25229.5,25248.75,1,-40.0,1.0
2026-02-11 11:21:00-05:00,2026-02-11 11:27:00-05:00,long,25252.25,25232.5,1,-41.0,6.0
2026-02-11 11:28:00-05:00,2026-02-11 11:41:00-05:00,short,25208.5,25254.75,1,-94.0,13.0
2026-02-11 11:42:00-05:00,2026-02-11 12:23:00-05:00,short,25240.0,25240.5,1,-2.5,41.0
2026-02-11 12:24:00-05:00,2026-02-11 13:09:00-05:00,long,25240.75,25241.0,1,-1.0,45.0
2026-02-11 13:10:00-05:00,2026-02-11 13:18:00-05:00,short,25231.0,25246.75,2,-64.5,8.0
2026-02-11 13:19:00-05:00,2026-02-11 13:20:00-05:00,long,25248.5,25239.25,2,-38.5,1.0
2026-02-11 13:21:00-05:00,2026-02-11 13:23:00-05:00,short,25227.5,25243.5,2,-65.5,2.0
2026-02-11 13:24:00-05:00,2026-02-11 16:00:00-05:00,long,25242.5,25278.25,1,70.0,156.0
2026-02-12 09:31:00-05:00,2026-02-12 09:32:00-05:00,long,25345.25,25342.75,4,-21.5,1.0
2026-02-12 09:33:00-05:00,2026-02-12 09:36:00-05:00,long,25371.5,25350.0,2,-87.5,3.0
